Query	ChatId	UserId	ChatQ	BotAnswer	BotHelp	Sys
добрый день. сотрудник принес заявление на увольнение в печатной форме с личной подписью это правомерно?	11652243	519381	1	1	1	БСС
Добрый вечер Подскажите-Допускается применение одновременно нескольких видов поощрения.?	11652232	628464	1	0	0	БСС
здравствуйте	11652247	897626	1	1	0	БСС
Здравствуйте. Организация должник ликвидировано УФНС как недействующее предприятие. Перед нашей организацией у них долг. Можно ли включить в расходы по налогу на прибыль?	11652253	783516	1	0	0	БСС
Добрый день. Нормы списания спецодежды кладовщика?	11659250	9067708	1	0	0	БСС
Добрый день! Подскажите можно ли принять на работу экскавторщика у которого просрочены права еа экскаватор на 1 мес.?	11659266	4981512	1	1	0	БСС
Добрый день! Подскажите пожалуйста при частичной ликвидации основного средства стоимость ликвидированной части по налоговому учету списывается единовременно или согласно спи ?	11659265	454088	1	1	1	БСС
Здравствуйте! Ставки земельного налога в Новосибирской области	11659252	17359321	1	1	1	БСС
Здравствуйте. Какой оквэд указывать в отчетности если несколько видов деятельности?	11659281	18395919	1	0	0	БСС
Здравствуйте! Можно ли выплатить компенсацию за неиспользованный отпуск не связанную с увольнением сотруднику, отработавшему 8 месяцев. За 8 месяцев сотрудник.в отпуск не ходил.	11659271	95018	1	1	0	БСС
Здравствуйте, ИП планирует открыть компьютерный клуб. Можно ли этот вид деятельности перевести на ПСН (регион Хабаровский край). Также в этом клубе будут подаваться закуски и напитки.	11659261	4304563	1	0	0	БСС
Здравствуйте, скажите, если сотрудник в организацию предоставляет заявление любого типа, например на выплату алиментов. Может ли организация принять заявление, напечатанное на компьютере, но подписано собственноручно? Как правильно?	11659336	22080806	1	0	0	БСС
Здравствуйте! ИП на патенте (грузовые перевозки), может ли ИП продать запчасти юридическому лицу? нужно сначала получить новый патент на розницу?	11659275	19606006	1	0	0	БСС
"Если дни отъезда в командировку или возвращения из командировки попадают на выходные или праздничные дни, то они подлежат оплате в двойном размере или оплате в одинарном размере с предоставлением дополнительного дня отдыха. Уточните, пожалуйста, распространяется ли это правило на сотрудников с разъездным характером работы за дни отъезда в служебную поездку и возвращения из нее?

Просьба ответить на вопрос о разъездном характере работы, а не о командировке ."	11659339	16097870	1	0	0	БСС
