Unnamed: 0	Query	UserId	Len	isPopular	isContainsPromoLead	moduleId	groupId	docName	Snippet	DocNameSnippet	isEtalon	searchType	begDate	versionDate	position	id	anchor	score	MouseRelevant	MouseScore
0	вэд	17718536	1	False	True	16	98850153	Как учесть параллельный импорт	С 4 ноября 2023 года действует новый приказ Минпромторга с перечнем товаров, по которым разрешен параллельный импорт.	Как учесть параллельный импорт. С 4 ноября 2023 года действует новый приказ Минпромторга с перечнем товаров, по которым разрешен параллельный импорт.	True	FixedQuery	1686787200.0	0	1	137532			Правда	0.9286662340164185
1	вэд	17718536	1	False	False	16	383535	Какие документы необходимо оформить при экспорте товаров за пределы ЕАЭС	Чтобы экспортировать товары за пределы ЕАЭС, потребуется внешнеторговый контракт. А если сумма по нему равна эквиваленту 10 млн руб. и больше, то нужно еще и поставить контракт на учет в банке. Как оформить документы и что еще нужно для вывоза – в этой рекомендации.	Какие документы необходимо оформить при экспорте товаров за пределы ЕАЭС. Чтобы экспортировать товары за пределы ЕАЭС, потребуется внешнеторговый контракт. А если сумма по нему равна эквиваленту 10 млн руб. и больше, то нужно еще и поставить контракт на учет в банке. Как оформить документы и что еще нужно для вывоза – в этой рекомендации.	True	FixedQuery	1653955200.0	0	2	128187			Правда	0.9675626754760742
2	вэд	17718536	1	False	False	16	383540	Как рассчитать, уплатить и учесть таможенные сборы и пошлины при экспорте товаров за пределы Таможенного союза	Ставка вывозной таможенной пошлины на буйволиные шкуры с кодом по ТН ВЭД 4101 50 100 0 составляет 200 евро за 1000 кг ( постановление Правительства от 27.11.2021 № 2068 ).	Как рассчитать, уплатить и учесть таможенные сборы и пошлины при экспорте товаров за пределы Таможенного союза. Ставка вывозной таможенной пошлины на буйволиные шкуры с кодом по ТН ВЭД 4101 50 100 0 составляет 200 евро за 1000 кг ( постановление Правительства от 27.11.2021 № 2068 ).	True	FixedQuery	1696118400.0	0	3	141279			Правда	0.9784174561500549
3	аванс	1540600	1	False	False	16	73883	Как выплатить аванс по зарплате	Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	Как выплатить аванс по зарплате. Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	True	FixedQuery	1672531200.0	0	1	129812			Правда	0.9512757062911987
4	аванс	1540600	1	False	False	16	74309	Как составить и зарегистрировать счет-фактуру на аванс	Если покупатель перечисляет аванс , продавец выставляет ему счет-фактуру на полученную сумму. После отгрузки продавец примет к вычету НДС с аванса , а покупатель восстановит НДС, принятый к вычету. Когда составлять счет-фактуру на аванс , как его заполнить и зарегистрировать продавцу и покупателю — в рекомендации.	Как составить и зарегистрировать счет-фактуру на аванс. Если покупатель перечисляет аванс , продавец выставляет ему счет-фактуру на полученную сумму. После отгрузки продавец примет к вычету НДС с аванса , а покупатель восстановит НДС, принятый к вычету. Когда составлять счет-фактуру на аванс , как его заполнить и зарегистрировать продавцу и покупателю — в рекомендации.	False	Unknown		0	2	74954		201.83142	Правда	0.9539812207221985
5	аванс	1540600	1	False	False	16	190003	Как учесть НДС с  авансов выданных	Покупатель вправе принять к вычету НДС, перечисленный продавцу, поставщику, исполнителю в составе аванса или частичной оплаты. Принять вычет можно, если соблюден ряд условий, и если покупатель не использует освобождение от уплаты НДС. Подробности — в рекомендации.	Как учесть НДС с  авансов выданных. Покупатель вправе принять к вычету НДС, перечисленный продавцу, поставщику, исполнителю в составе аванса или частичной оплаты. Принять вычет можно, если соблюден ряд условий, и если покупатель не использует освобождение от уплаты НДС. Подробности — в рекомендации.	False	Unknown		0	3	129836		184.79887	Ложь	0.7283007502555847
6	аванс	18439648	1	False	False	16	73883	Как выплатить аванс по зарплате	Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	Как выплатить аванс по зарплате. Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	True	FixedQuery	1672531200.0	0	1	129812			Правда	0.9512757062911987
7	аванс	18439648	1	False	False	16	74309	Как составить и зарегистрировать счет-фактуру на аванс	Если покупатель перечисляет аванс , продавец выставляет ему счет-фактуру на полученную сумму. После отгрузки продавец примет к вычету НДС с аванса , а покупатель восстановит НДС, принятый к вычету. Когда составлять счет-фактуру на аванс , как его заполнить и зарегистрировать продавцу и покупателю — в рекомендации.	Как составить и зарегистрировать счет-фактуру на аванс. Если покупатель перечисляет аванс , продавец выставляет ему счет-фактуру на полученную сумму. После отгрузки продавец примет к вычету НДС с аванса , а покупатель восстановит НДС, принятый к вычету. Когда составлять счет-фактуру на аванс , как его заполнить и зарегистрировать продавцу и покупателю — в рекомендации.	False	Unknown		0	2	74954		201.83142	Правда	0.9539812207221985
8	аванс	18439648	1	False	False	16	190003	Как учесть НДС с  авансов выданных	Покупатель вправе принять к вычету НДС, перечисленный продавцу, поставщику, исполнителю в составе аванса или частичной оплаты. Принять вычет можно, если соблюден ряд условий, и если покупатель не использует освобождение от уплаты НДС. Подробности — в рекомендации.	Как учесть НДС с  авансов выданных. Покупатель вправе принять к вычету НДС, перечисленный продавцу, поставщику, исполнителю в составе аванса или частичной оплаты. Принять вычет можно, если соблюден ряд условий, и если покупатель не использует освобождение от уплаты НДС. Подробности — в рекомендации.	False	Unknown		0	3	129836		184.79887	Ложь	0.7283007502555847
9	аванс	21009769	1	False	False	16	73883	Как выплатить аванс по зарплате	Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	Как выплатить аванс по зарплате. Можно ли не выплачивать аванс по зарплате? Какую конкретно сумму надо начислить и выдать сотруднику за первую половину месяца? Ответы на эти и другие вопросы вы найдете в этой рекомендации.	True	FixedQuery	1672531200.0	0	1	129812			Правда	0.9512757062911987
